E,N,VN,VE
191.9503615810617,74.55356516305007,-5.6844636273821045,-1.1037988146780542
184.97658053324648,72.64470224570482,-6.221603329032774,-1.439194804108693
177.83469731377087,70.76245375572122,-6.60499911501503,-1.6237744280822284
170.784780870338,68.90526868021979,-6.790355147019373,-1.721015125780026
163.98891576376678,67.14214730566295,-6.792650639178934,-1.7385569176981157
157.6148117972363,65.51140746604584,-6.618280828215106,-1.6936394813589466
151.88640633603643,64.021568142491,-6.247551804027811,-1.6087347447716702
147.1082241861945,62.398940320529164,-5.635400936323855,-1.6145227091772352
143.56737445959416,60.23094663079709,-4.762794552470741,-1.84510304002211
141.46591478936216,57.552868402137776,-3.654061666384358,-2.19212700573933
140.65639633454157,54.613797570434485,-2.469002760193092,-2.5033096342136396
140.69205975720539,51.71198232712127,-1.4255392772112572,-2.669330181664212
