E,N,U
74.44473853785829,30.2779804882632,-0.11163306669789463
70.62962992511913,33.84463938419318,-0.06260776689184411
67.46804007784229,38.14002259091092,-0.024597792803607632
63.80171864638744,42.12642999517395,-0.0025852521002569517
59.27837511081484,45.024204603604346,-0.0015617076324545565
54.09173307867784,46.10963648572158,0.005476104265341064
48.87218935818693,45.288447055150584,-0.016476569499808136
44.20703362562342,42.621953454997026,-0.029424924628361993
40.68068163336592,38.3700430216735,-0.046375238502328386
38.83640452037099,33.057303309299925,-0.03433466798291107
39.18011644286587,27.39596438518552,-0.046310402370881576
41.70189040855205,22.245703123545255,-0.04730652017501491
46.18632174020536,18.466752366703854,-0.047325179826447794
52.02873529463942,16.77800871482519,-0.03136496266946409
57.983599762742145,17.48306485398974,-0.0024174371868337374
63.29680652910871,20.080667334391975,-0.017474723458189345
