E,N,U,t
3810554991.0150385,2922408357.4221973,-7447882667.999401,-29.257581853740703
5019373179.051313,4000479764.2607193,-9668017675.166372,-38.58242212887622
10470082429.161015,8222850394.927731,-20665942933.137432,-81.91226102284394
38468094720.303055,30193176298.022247,-89652250054.26698,-336.71486319140195
344463349444.07605,235800686638.05322,-823210598074.9402,-3032.7588738963937
493959328049.26025,313353070210.093,-825889209108.5984,-3332.8217863701207
460072303232.8805,249481028623.14307,-1143149040372.3547,-4105.542779620813
756291861637.3904,339207145771.72974,-1167485511714.7568,-4685.777724570495
408737514194.3926,157970345369.8396,-914078252057.2969,-3337.311305517839
923866526489.6528,268264353274.26904,-1953368205814.3862,-7200.478155482996
95640758415.20157,23232704694.409668,-224886118239.79306,-801.3631545740391
647158470247.5653,95932126308.17456,-956041610987.4956,-3811.7615850807315
735844710668.8813,71224700978.20459,-1054348449461.2634,-4193.978803278682
343227224602.3473,7082341898.269531,-898031539713.5098,-3120.4079457306993
973242126572.3394,-27933691248.4917,-1506603111706.2463,-5817.576023885572
533246351686.74756,-79284646344.25757,-1597675834308.1238,-5481.054676163285
1066189430179.0942,-194976206449.8086,-3628352428530.5835,-12276.979175006738
1221441645805.2578,-287362685262.6211,-2245223805561.827,-8295.766048924566
647337620121.4448,-223634533355.9546,-2794543738553.6514,-9312.37745059472
702579328256.6475,-370821629671.8418,-3511731109103.099,-11655.831498720752
821819187960.5684,-372967011067.92725,-1889405634366.419,-6746.279061014838
1516093525883.5327,-714503873571.4297,-3737596261690.2764,-13198.178631274846
398705953570.8828,-180533807264.54883,-2666428363440.358,-8724.378645814917
697864530929.9133,-250808537126.42432,-1827578857450.6306,-6380.686178862523
525472924818.48975,-130524785812.59888,-1385867732798.5833,-4812.763626431028
164275424906.9663,-25581678652.77173,-1375044259284.5872,-4477.241831301483
146792645367.63916,-26194786427.57495,-1324985214896.6826,-4308.514558187011
186102945224.06577,-35879539391.78369,-559388003131.8583,-1913.8991723823003
103750344121.97473,-20717792522.19464,-337885284925.6204,-1149.2771361482642
46232894269.95327,-11915429973.332336,-164369509876.02176,-555.9942484830129
7866780493.250084,159951977.6984558,-159220848534.20627,-518.7720330244208
1334474198.902997,170377896.65318298,-28932165298.365913,-94.5864655828115
191815599.68206275,-90004274.13323212,-4256679460.3356423,-13.93169501989133
290911711151487.0,746427260931903.4,1.530722521905025e+16,51129285.89407169
12073222484772.078,-1358997201908.5,1050414563650705.9,-3317031.2574728187
-132038219488.5664,-514218111220.59375,50721661944519.71,-160389.53738371993
-2562138272837.8896,-5494565067743.355,17409816452456.102,-59189.00428831366
-4523387904.754662,-7305399764.04184,71974876972.8185,-235.7788665182878
-758986274.5689385,-1034460725.8995476,-3413177368.703086,-11.919511153265923
-30998522102378.938,-37566997490742.25,-472885651545759.3,-1477562.1439670054
-743273741885.2046,-854517876072.7632,-2483955076004.914,-8815.55174441398
-114909484.09084761,-140730130.34472978,770333895.9308878,-2.5939520410959322
-140168327.8494056,-183023770.12149715,904221071.6953048,-3.0564392270237857
-6451226733.169802,-9321799761.725868,-43094020570.03878,-145.19922203905293
-29142431576118.918,-45393921756329.28,-91475351470714.75,-333886.6697772784
-9577938724.64592,-15626962358.043228,-65643873959.305214,-221.61213169442547
-43850504603.724106,-72032608944.90753,-289474527399.60266,-978.7114735434845
-983371791.7245839,-1583264879.4355974,-3336317205.5574064,-12.52164871237708
-7770607013398.436,-12458365790534.172,23091661942918.234,-87755.31599901343
133.07069981263223,40.34051114471082,37.02396817360621,9.704952578206004e-09
128.19585617994903,37.6733020208638,-3.302805178347451,4.203101312957165e-09
122.01511900753772,37.24765540344817,1.7804275359289377,6.851068823831949e-09
116.18412329845575,34.90685652743678,-1.7904599811712227,6.0052344678151255e-09
108.96988721585225,32.65176511965488,37.744398485034594,9.375351985113498e-09
102.89195913545522,32.925175026390484,32.39898572586888,1.128014905947943e-08
96.63802999366038,28.73005692119492,46.90174459643632,2.0009395227670547e-09
90.27897801156521,29.528982199773722,42.40881682040585,8.4928057108155e-09
84.43667565886966,27.01917776576682,-0.8247997984006835,6.875456014626796e-09
78.82686837773524,28.01813988382471,-2.1330750031302808,8.093642144235339e-09
74.20712491362663,29.12791488558516,-1.5124039506526505,8.431550801393878e-09
70.51406120753542,32.48665352694892,0.08727072975375909,8.784130780757228e-09
68.62141257069064,38.233508011873084,1.56718041474693,1.469249113495897e-08
63.47216853547163,42.00034759395142,-0.7347682419855174,1.1538970757444266e-08
58.629657989066764,45.62401391431111,-0.3352577458776266,9.710405514954091e-09
54.20494358634366,45.868954773869554,-0.741473554357745,1.1041595021842705e-08
48.80451529686705,45.75709252033208,0.1501104085984002,1.1184144484723381e-08
44.55520461659393,43.38397810842673,-1.655179582724977,9.697381093244247e-09
42.474564116711655,38.18780297695327,2.0066302052389178,1.4183264173612806e-08
38.22755376652524,33.08548646822552,2.2921508492689786,1.0805701627591592e-08
39.8830584017468,28.54277623168987,-0.5585192131962541,1.2230714266725443e-08
41.19763935865143,21.455768830545,0.47463793200513704,1.0560022103124678e-08
46.076733398952015,19.384775421086935,1.0367610658689264,1.4769398850822069e-08
52.28072914250948,16.050193021864946,-1.9164289391585705,6.9348900139363566e-09
58.44349776837072,16.32765333530163,-1.476705242395354,7.782269803695725e-09
63.98778314253583,18.391415231971095,1.9590798575591124,1.0492145344224393e-08
66.69093020765935,24.125558260902828,-3.5542131114027797,7.049673470782661e-09
68.64948102770855,30.503284514200697,-0.32786598785914706,1.2890354511589782e-08
68.16361924610119,34.70053874371361,-2.534071286212215,1.1160565660448993e-08
64.77234259034748,40.33035560243706,-1.3343474173635879,9.507753030118929e-09
61.563892365942856,44.409895998509974,0.7582340819777099,1.3082399162032214e-08
55.482522673249356,45.67871751045562,2.64617885355393,1.4769236260576483e-08
49.3645462674481,44.82382783957697,0.8967381356891904,1.4625353417488468e-08
44.051353993697035,42.4655279060524,0.45736289535264096,1.415035620547205e-08
39.90739393985875,36.49944661250089,-1.5251334075755396,9.236902299924606e-09
39.450116006266285,30.017867887158157,0.14717455122354806,1.0432392135780374e-08
40.557711740284255,25.232774686548005,2.261352862503616,1.1633568608671078e-08
44.639388235173435,18.87694544200125,0.5835251108810426,1.0366138873897619e-08
49.17569566329308,17.233909606569362,-1.1261594242389021,7.697659195089155e-09
55.59839419224171,16.13644123130434,-1.4349022066309716,6.21183010429484e-09
60.94269587090559,19.735445395081253,0.8033895426066603,9.777225802071561e-09
66.51819402304734,21.219611649811657,-3.2353751036740817,7.66682823645512e-09
72.7608429107647,23.800481462040345,-2.4099041933934315,8.046673740064003e-09
79.0351795757378,24.61365822649742,-3.180747351830243,6.57970161679859e-09
86.83371753331649,26.19993206589085,2.9913776489365658,1.0957870116422668e-08
94.0845158883935,28.541670990544578,43.4747556921339,4.766345970226222e-09
101.5857552610081,28.063740087513846,39.1665801257045,8.648001719689623e-09
109.01635154331262,31.864189678347866,48.09043567362482,2.579430734302655e-09
120.22670984522473,35.56288640617775,7.243699852804375,1.2627346987716443e-08
129.53210108149494,35.93483480696298,-1.9916463960596213,4.033969102857302e-09
-225505465.97093976,-379409466.63289523,1277096220.8482418,-4.42469951168145
-2416352188.398373,-5375655412.245071,-11232078590.376951,-41.376332159077336
-9754520763539.578,-31690530785738.094,176516379286779.5,-569285.1894290006
21550934843751.938,-53468587647813.0,2183964979324996.5,-6128793.900079649
161015298.252714,-1223091627.7584696,-3099276100.029771,-10.90079523114188
5171668444.598264,-11232684318.224243,-80605543672.28152,-265.14159972381304
29498246060.93318,-33311639756.31201,-327380247069.7367,-1070.7595771680685
404927380522.32404,-356816246037.8508,-1353435521432.1338,-4719.230279626337
183281771728.32935,-133140007405.34814,-1288064390949.548,-4226.558211390915
980882472531.73,-543175407294.979,-2331412690439.2876,-8335.454704451147
