BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8
528.1915954432437,460.3766418178351,490.18012008165283,550.0807451304547,467.7493019451813,384.5622619837271,372.6168303983453,365.1704037089019
536.0026430581485,454.08052753852576,483.530263714385,556.1505017711477,475.4908285847986,379.1069490383435,375.0947535537066,371.01190706406743
543.3285143988818,448.3197567874429,477.6915957190624,562.3103610789367,482.7847411770341,374.3509008475961,378.5062144344972,376.90131718436083
550.038055342355,442.6869526310023,472.7801854148306,568.5917422900434,489.8375681776355,371.3428524035513,382.8206190753353,381.97672055116266
556.0150145268,436.4582688524768,468.7485101199207,574.6873536400196,496.261720126819,369.23278688029086,387.8261258677338,386.2887121162325
561.397751957784,431.4530423955048,465.6340280772462,580.1249475366533,501.4862754474957,368.50068470281695,392.3034181946113,390.58275681824443
565.5862824897658,427.4679307395835,463.5056970462948,584.5336301615371,505.61635529147736,367.983344136415,395.9017078146211,393.9686287733461
568.1085723872411,424.7459005215834,461.44204689567636,587.1452358098097,508.3758221305626,367.3912447523524,398.0735183151245,395.95141777152867
570.8113713486398,422.4516889722912,459.26565317121594,589.340662854011,511.18186490675885,366.7682874132769,399.70232085625236,398.11412632101633
574.0777263829317,420.40094880806447,456.8451244202679,591.825787790553,514.1420828324644,365.4113754723659,401.3561277635953,401.2662325004551
577.580063989773,419.15048416127115,453.33468903239907,593.6073113339717,517.6700623766646,363.0057841862502,402.94319308831746,405.13471825178954
581.2460257192138,419.40636364128244,448.6931144364605,594.8359104418685,520.9591978809774,359.3214081978462,402.8778535537463,409.4725889545288
584.1387613571401,420.4986808176434,443.86757325062524,594.6111424753205,523.7777017301892,354.45180283857644,401.8739013484753,413.6355008013472
587.5253231138955,422.3501860106692,438.6324736158434,594.7144000574856,526.4867702405868,349.93816933157655,401.1509833103093,418.1409421882005
590.8319241769423,424.4556646120666,433.24709088804843,594.6442596729661,529.3366624631436,344.7096827454671,400.3939066418179,422.85594940153845
